Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,14/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,"Department for Levelling Up, Housin",2000034039,Dft fourth quarter PFI payment transfer," £80,577,205.00 ",HP2 4XN
Department for Transport,High Speed Two (HS2) Limited,07/03/2024,AUC - Phase 1,AUC - 000000,ALIGN JOINT VENTURE,#,MWCC C1 Align PBA PO," £53,955,206.20 ",#
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,WEST MIDLANDS TRAINS,2000035848,P2501 Wk4 2025.P1 NRC_PCP Cost_P2501 - West Midlan," £53,077,974.86 ",B4 6GA
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GREATER LONDON AUTHORITY,2000033871,SR 9001138207," £50,000,000.00 ",SE1 2UT
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,Abellio East Midlands Limited,2000035862,P2501 Wk4 2025.P1 EMR_NRC_ICPCost_P2501 - East Mid," £40,871,940.45 ",EC4A 3AG
Department for Transport,High Speed Two (HS2) Limited,07/03/2024,AUC - Phase 1,AUC - 000000,BALFOUR BEATTY VINCI SYSTRA JV,#,Target Following Consolidation," £33,701,466.36 ",#
Department For Transport,National Highways,27/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT PLUS (M25) LTD,957003,Operate Roads PFI Service Payments," £30,983,345.81 ",EN6 3NP
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NOTTINGHAM CITY COUNCIL,2000034375,Transforming Cities Fund Capital Grant," £23,552,000.00 ",NG2 3NG
Department for Transport,Department for Transport,28/03/2024,CurrGrtOth to NDPBs,DG Rail Strategy and Services Group,Network Rail,2000036044,#," £23,551,386.00 ",SE1 8SW
Department for Transport,Department for Transport,20/03/2024,TOCPerfMgmtFee(Pub),DG Rail Strategy and Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000034762,P2413 Wk4 2024.P13 GTR_NRC_PBF_22-23  - GOVIA THAM," £22,831,066.40 ",EC3R 8AJ
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WORCESTERSHIRE COUNTY COUNCIL,2000034691,MRN LLM Grants 2023/24," £19,560,000.00 ",WR5 2NP
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,Transpennine Trains Limited,2000035911,P2501 Wk4 2025.P1 TPT_CP Contract Payment_P2501 -," £18,481,397.70 ",SW1P 4DR
Department for Transport,Department for Transport,20/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,SE TRAINS LTD,2000034852,P2413 Wk3 2025.P3 HS1 Track Access Advance Payment," £18,171,456.83 ",SW1H 9EA
Department for Transport,Department for Transport,20/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,SE TRAINS LTD,2000034852,P2413 Wk3 2025.P2 HS1 Track Access Advance Payment," £17,380,887.97 ",SW1H 9EA
Department for Transport,Department for Transport,20/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,SE TRAINS LTD,2000034852,P2413 Wk3 2025.P1 HS1 Track Access Advance Payment," £16,883,223.33 ",SW1H 9EA
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,Trenitalia c2c Limited,2000035831,P2501 Wk4 2025.P1 On Account - NRC Contract Paymen," £16,677,334.96 ",EC3R 6DL
Department for Transport,High Speed Two (HS2) Limited,13/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY SYSTEM OPERATOR LIMITED,#,GSP's Ickenham," £16,591,018.93 ",#
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NORFOLK COUNTY COUNCIL,2000035144,Pothole Fund payment," £15,892,000.00 ",NR1 2UG
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,KENT COUNTY COUNCIL,2000035141,Pothole Fund payment," £15,137,000.00 ",ME14 1QX
Department for Transport,Department for Transport,28/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Strategy and Services Group,RAIL SETTLEMENT PLAN LTD,2000036142,ITSO Grant RDG smartcard standard update," £14,990,664.00 ",EC1A 4H
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",GMCA,2000035209,LEVI Capital fund Greater Manchester 90% payment," £14,542,200.00 ",M1 6EU
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,SE TRAINS LTD,2000035885,P2501 Wk4 2025.P1 CP Contract Payment - PAYMENT ON," £14,311,950.19 ",SW1H 9EA
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952564,RIS 1 Schemes," £14,107,372.30 ",SL6 4UB
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",WEST MIDLANDS COMBINED AUTHORITY,2000035364,LEVI Capital fund : West Midlands 90% payment," £13,094,100.00 ",B19 3SD
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST MIDLANDS COMBINED AUTHORITY,2000036113,CRSTS Capital," £13,036,000.00 ",B19 3SD
Department for Transport,High Speed Two (HS2) Limited,11/03/2024,AUC - Phase 1,AUC - 000000,MACE-DRAGADOS JV,#,Construction Partner - Euston Station (approved budget)," £12,965,085.20 ",#
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",WEST YORKSHIRE COMBINED AUTHORITY,2000035618,LEVI Capital fund : West Yorkshire CA 90% payment," £12,893,400.00 ",LS1 2DE
Department for Transport,High Speed Two (HS2) Limited,13/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY SYSTEM OPERATOR LIMITED,#,GSP's Quainton," £11,185,141.75 ",#
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GMCA,2000036103,CRSTS Capital," £11,083,000.00 ",M1 6EU
Department for Transport,High Speed Two (HS2) Limited,11/03/2024,Business Services,P40037 - Phase Two Commercial,BALFOUR BEATTY CIVIL ENGINEERING LTD,#,EEW Construction Contract - 2EE02," £11,032,157.59 ",#
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,955503,RIS 1 Schemes," £10,963,573.20 ",SW1V 1LQ
Department for Transport,Department for Transport,26/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,MERSEYTRAVEL,2000035597,P2413 Wk3 2024.P13 P2413 base subsidy (on account)," £10,899,094.59 ",L3 2AN
Department for Transport,High Speed Two (HS2) Limited,15/03/2024,AUC - Phase 1,AUC - 000000,LONDON BOROUGH OF CAMDEN,#,LBC Resident Relocation Third Party Agreement (TPA2260)," £10,600,000.00 ",#
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST YORKSHIRE COMBINED AUTHORITY,2000036100,CRSTS Capital," £10,303,000.00 ",LS1 2DE
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,North Yorkshire Council,2000034727,MRN LLM Grants 2023/24," £10,000,000.00 ",DL7 8AL
Department for Transport,Department for Transport,25/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Strategy and Services Group,ATOC LIMITED,2000035346,RETAIL AND STATION ENHANCEMENTS GRANT CLAIM 1," £10,000,000.00 ",EC1A 4HD
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GLOUCESTERSHIRE COUNTY COUNCIL,2000035132,Pothole Fund payment," £9,896,000.00 ",GL1 2TJ
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,HERTFORDSHIRE COUNTY COUNCIL,2000035140,Pothole Fund payment," £9,880,000.00 ",SG13 8DN
Department for Transport,Department for Transport,27/03/2024,Capital Subs To Tocs,DG Rail Strategy and Services Group,WEST MIDLANDS TRAINS,2000035848,P2501 Wk4 2025.P1 NRC_PCP Capex_P2501 - West Midla," £9,360,484.95 ",B4 6GA
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WILTSHIRE COUNCIL,2000035191,Pothole Fund payment," £9,212,000.00 ",BA14 4DS
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LIVERPOOL CITY REGION,2000035210,Levelling Up Fund Payment 14 for Round 1 Schemes," £9,182,422.50 ",L69 3HN
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LIVERPOOL CITY REGION,2000036104,CRSTS Capital," £8,815,000.00 ",L69 3HN
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LIVERPOOL CITY REGION,2000035356,LEVI Capital fund :  Liverpool 90% payment," £8,682,300.00 ",L69 3HN
Department for Transport,High Speed Two (HS2) Limited,05/03/2024,AUC - Phase 1,AUC - 000000,SKANSKA COSTAIN STRABAG S1 JOINT,#,"Purchase of Plant, Equipment and Services."," £8,039,888.40 ",#
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",South Yorkshire Mayoral,2000035049,LEVI Capital fund :   South Yorkshire 90% payment," £8,023,500.00 ",S1 2BQ
Department for Transport,Department for Transport,26/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,LIVERPOOL CITY REGION,2000035625,Bus Transformation Fund (RDEL) - #11.741m," £7,784,027.00 ",L69 3HN
Department for Transport,Department for Transport,08/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Infrastructure Group,NORTHUMBERLAND COUNTY COUNCIL,2000033406,Northumberland CC Febuary 2024 invoice Payment2," £7,531,696.68 ",NE61 2EF
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,PLYMOUTH CITY COUNCIL,2000035952,ZEBRA 2," £7,472,897.00 ",PL1 2AA
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST NORTHAMPTONSHIRE COUNCIL,2000035877,ZEBRA 2," £7,355,061.00 ",NN1 1ED
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LIVERPOOL CITY REGION,2000035835,ZEBRA 2," £7,346,198.00 ",L69 3HN
Department for Transport,Department for Transport,04/03/2024,Eurotunnel Admin Pay,DG Rail Strategy and Services Group,SNCF CAISSE GENERALE,2000032629,SR 9001135555 SNCF Feb 24," £7,241,592.55 ",93633
Department for Transport,Department for Transport,26/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,ABELLIO EAST ANGLIA,2000035631,P2413 Wk3 2024.P13 CBCE and ROM Adjustment - Abell," £7,232,566.00 ",E20 1EJ
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SHEFFIELD CITY REGION,2000036071,CRSTS Capital," £7,077,000.00 ",S1 4PL
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,952917,RIS 1 Schemes," £7,021,992.42 ",WD3 9SW
Department for Transport,High Speed Two (HS2) Limited,08/03/2024,AUC - Phase 1,AUC - 000000,BALFOUR BEATTY VINCI SYSTRA JV,#,Target Following Consolidation," £6,876,961.12 ",#
Department for Transport,High Speed Two (HS2) Limited,11/03/2024,AUC - Phase 1,AUC - 000000,MDJV Curzon Street Limited Partnership (Unincorporated JV),#,Main Works Station Contract (MWSC) - Curzon Street Stage Two," £6,852,714.36 ",#
Department for Transport,Department for Transport,05/03/2024,Eurotunnel Admin Pay,DG Rail Strategy and Services Group,EUROTUNNEL,2000032769,SR 9001135747," £6,449,566.71 ",CT18 8XY
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LEICESTERSHIRE COUNTY COUNCIL,2000035957,ZEBRA 2," £6,361,582.00 ",LE3 8RB
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",Devon County Council,2000035532,LEVI Capital fund : Devon  90% payment," £6,360,300.00 ",EX2 4QD
Department for Transport,Department for Transport,04/03/2024,Eurotunnel Admin Pay,DG Rail Strategy and Services Group,SNCF VOYAGEURS VOYAGES RHT,2000032628,SR 9001135564 SNCF Feb 24," £6,306,108.76 ",93212
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,WEST MIDLANDS COMBINED AUTHORITY,2000035636,ATF4E Second Intallment," £6,141,969.00 ",B19 3SD
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LANCASHIRE COUNTY COUNCIL,2000033868,Safer Roads Fund Capital Grant," £6,037,180.00 ",PR1 0LD
Department for Transport,Active Travel England,21/03/2024,CurrGrtOth to NDPBs,Bikeability (National Cycling),THE BIKEABILITY TRUST,2000035046,Bikeability Q4 Grant Payments," £6,000,000.00 ",CB2 1SD
Department for Transport,Department for Transport,20/03/2024,TOCPerfMgmtFee(Pub),DG Rail Strategy and Services Group,WEST MIDLANDS TRAINS,2000034782,P2413 Wk3 2023.P13 Performance Based Fee_FY22-23 -," £5,997,011.46 ",B4 6GA
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",WEST OF ENGLAND COMBINED,2000035360,LEVI Capital fund : West of England 90% payment," £5,979,600.00 ",BS1 6QH
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,AUC - Phase 1,AUC - 000000,SEVERN TRENT WATER LIMITED,#,STW Non-contestable element of BBV Contestable Works FY 21/22," £5,978,854.60 ",#
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,952722,RIS 1 Schemes," £5,953,320.97 ",WD3 9SW
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",DERBYSHIRE COUNTY COUNCIL,2000035136,LEVI Capital fund : Derbyshire 23-24  90% payment," £5,943,600.00 ",DE4 3AH
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",TEES VALLEY COMBINED AUTHORITY,2000035628,LEVI Capital fund : Tees Valley CA 90% payment," £5,936,400.00 ",TS17 6QY
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST OF ENGLAND COMBINED,2000036108,CRSTS Capital," £5,837,000.00 ",BS1 6QH
Department for Transport,Department for Transport,05/03/2024,Eurotunnel Admin Pay,DG Rail Strategy and Services Group,EUROTUNNEL,2000032770,SR 9001135748," £5,815,523.79 ",CT18 8XX
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,TRANSPORT NORTH EAST,2000035859,ZEBRA 2," £5,799,893.00 ",NE1 8QH
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,TEES VALLEY COMBINED AUTHORITY,2000035838,ZEBRA 2," £5,790,567.00 ",TS17 6QY
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,TORBAY BC,2000035956,ZEBRA 2," £5,596,758.00 ",TQ1 3DS
Department for Transport,Department for Transport,06/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Infrastructure Group,NORTHUMBERLAND COUNTY COUNCIL,2000033184,Northumberland CC Febuary 2024 invoice Payment," £5,500,000.00 ",NE61 2EF
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",HERTFORDSHIRE COUNTY COUNCIL,2000035140,LEVI Capital fund : Herts CC 90% payment," £5,413,500.00 ",SG13 8DN
Department for Transport,Department for Transport,26/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Infrastructure Group,NORTHUMBERLAND COUNTY COUNCIL,2000035591,Northumberland CC March 2024 invoice 1," £5,329,348.86 ",NE61 2EF
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST OF ENGLAND COMBINED,2000035841,ZEBRA 2," £5,187,902.00 ",BS1 6QH
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,North East Combined Authority c/o,2000035626,ATF4E First Intallment," £5,095,298.00 ",NE1 1HH
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Devon County Council,2000033866,Safer Roads Fund Capital Grant," £5,040,000.00 ",EX2 4QD
Department for Transport,Department for Transport,15/03/2024,CurrGrtOth to NDPBs,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034205,Future of Flights Grant 2024," £5,000,000.00 ",RH6 0YR
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GREATER MANCHESTER COMBINED,2000035368,S31 Determination - GLF Grant," £5,000,000.00 ",M1 6EU
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,VOLVO CAR UK LTD,956848,Customer Operations Traffic Management," £4,982,274.96 ",SL6 4FL
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",NOTTINGHAMSHIRE COUNTY COUNCIL,2000035020,LEVI Capital fund : Nottinghamshire  90% payment," £4,969,800.00 ",NG2 7QP
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",SUFFOLK COUNTY COUNCIL (GRANTS),2000034696,LEVI Capital fund :  suffolk 90% payment," £4,803,300.00 ",IP1 2DH
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GLOUCESTERSHIRE COUNTY COUNCIL,2000035943,ZEBRA 2," £4,626,959.00 ",GL1 2TJ
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,KINGSTON UPON HULL CITY COUNCIL,2000035790,ZEBRA 2," £4,480,423.00 ",HU1 2AB
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,954000,Feasibility," £4,430,345.98 ",SL6 4UB
Department for Transport,Department for Transport,19/03/2024,Support Services,"DG Aviation, Maritime and Security",The Commissioners of Northern,2000034529,SR 9001139102," £4,400,000.00 ",EH2 3DA
Department for Transport,Department for Transport,19/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",North Yorkshire Council,2000034505,LEVI Capital fund : North Yorkshire 90% payment," £4,392,000.00 ",DL7 8AL
Department for Transport,Department for Transport,27/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,Transpennine Trains Limited,2000035911,P2501 Wk4 2024.P12 TPT_PADJ Periodic Adjustment_P2," £4,383,122.33 ",SW1P 4DR
Department for Transport,Department for Transport,04/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",HARRIS AUTOMOTIVE DISTRIBUTORS U.G,2000032741,"""PIVG Harris Auto  January 2024 #4,180,000"""," £4,180,000.00 ",D12 KX5
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Devon County Council,2000035946,ZEBRA 2," £4,178,051.00 ",EX2 4QD
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Cornwall Council,2000034692,MRN LLM Grants 2023/24," £4,100,000.00 ",TR14 8SX
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952348,RIS 2 Schemes," £4,097,299.71 ",SL6 4UB
Department For Transport,National Highways,01/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,951729,Renewals of Roads," £4,060,519.20 ",CV21 2DW
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,PLYMOUTH CITY COUNCIL,2000034353,Transforming Cities Fund Capital Grant," £4,040,517.00 ",PL1 2AA
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,DERBYSHIRE COUNTY COUNCIL,2000035945,ZEBRA 2," £4,002,543.00 ",DE4 3AH
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",EAST SUSSEX COUNTY COUNCIL,2000035564,LEVI Capital fund : East Sussex 90% payment," £3,996,900.00 ",BN7 1UE
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,952926,SR13 RIP Schemes," £3,970,058.24 ",SW1V 1LQ
Department for Transport,Department for Transport,26/03/2024,Cap Grt Pri Sec-Cos.,DG Rail Infrastructure Group,NORTHUMBERLAND COUNTY COUNCIL,2000035591,Northumberland CC March 2024 invoice 2," £3,923,444.00 ",NE61 2EF
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LONDON BOR.OF WALTHAM FOREST,2000035192,LEVI Capital :LB of Waltham Forest 90% payment," £3,894,300.00 ",E17 4JA
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,GALLIFORD TRY INFRASTRUCTURE LIMITED,952565,Feasibility," £3,872,846.76 ",LE10 3JH
Department for Transport,Department for Transport,28/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,TEES VALLEY COMBINED AUTHORITY,2000036107,CRSTS Capital," £3,849,000.00 ",TS17 6QY
Department for Transport,High Speed Two (HS2) Limited,27/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,C1000_3578 - OOC Rail Systems - Main Contract - Stage 2 Remit," £3,829,284.49 ",#
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,GREATER MANCHESTER COMBINED,2000035641,ATF4E First Intallment," £3,826,673.00 ",M1 6EU
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Essex County Council,2000035947,ZEBRA 2," £3,791,809.00 ",CM1 1QH
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,READING BOROUGH COUNCIL,2000035953,ZEBRA 2," £3,718,919.00 ",RG1 2LU
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JOHN GRAHAM CONSTRUCTION LTD,953344,RIS 1 Schemes," £3,663,480.44 ",BT26 6HX
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Essex County Council,2000033867,Safer Roads Fund Capital Grant," £3,600,000.00 ",CM1 1QH
Department for Transport,Department for Transport,06/03/2024,Support Services,DG Rail Strategy and Services Group,HS1 LIMITED,2000033105,SR 9001136822," £3,523,173.67 ",N1 9AG
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,ISLE OF WIGHT COUNCIL,2000035948,ZEBRA 2," £3,513,581.00 ",PO30 1UD
Department for Transport,Department for Transport,05/03/2024,Grt Aid to NDPBs,DG Rail Strategy and Services Group,Great British Railways Transition,2000032833,#," £3,395,000.00 ",SE1 8SW
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WARWICKSHIRE COUNTY COUNCIL,2000035896,ZEBRA 2," £3,359,042.00 ",CV34 4RL
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,South Yorkshire Mayoral,2000035649,ATF4E First Intallment," £3,358,273.00 ",S1 2BQ
Department for Transport,Department for Transport,20/03/2024,TOCPerfMgmtFee(Pub),DG Rail Strategy and Services Group,WEST MIDLANDS TRAINS,2000034782,P2413 Wk3 2023.P13 Fixed Fee_FY22-23 - West Midlan," £3,318,832.01 ",B4 6GA
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",PORTSMOUTH CITY COUNCIL,2000035067,LEVI Capital fund :   Portsmouth 90% payment," £3,313,800.00 ",PO1 2AL
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,SURREY COUNTY COUNCIL,2000035551,ATF4E First Intallment," £3,300,000.00 ",KT1 2DN
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",OXFORDSHIRE CC,2000035064,LEVI Capital fund :  Oxfordshire 90% payment," £3,289,500.00 ",OX1 1TH
Department for Transport,High Speed Two (HS2) Limited,07/03/2024,SAAS,P40033 - Civils and Services - Commercial,SAS SOFTWARE LTD,#,C1000_3685 Cost Verification and Assurance Software30th December 2023.- 29th December 2024.," £3,250,628.40 ",#
Department For Transport,National Highways,18/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,KIER TRANSPORTATION LIMITED,953931,RIS 2 Schemes," £3,242,937.03 ",M50 3XP
